"Index" "AAPL.Adjusted"
2010-11-23 40.378593
2010-11-24 41.172483
2010-11-26 41.198642
2010-11-29 41.443218
2010-11-30 40.695104
2010-12-01 41.381748
2010-12-02 41.610629
2010-12-03 41.517768
2010-12-06 41.872207
2010-12-07 41.618477
2010-12-08 41.984685
2010-12-09 41.821199
2010-12-10 41.92583
2010-12-13 42.071008
2010-12-14 41.890518
2010-12-15 41.899671
2010-12-16 42.016075
2010-12-17 41.932371
2010-12-20 42.141632
2010-12-21 42.401903
2010-12-22 42.527461
2010-12-23 42.323432
2010-12-27 42.464684
2010-12-28 42.568008
2010-12-29 42.544465
2010-12-30 42.331279
2010-12-31 42.187411
2011-01-03 43.104243
2011-01-04 43.329202
2011-01-05 43.68364
2011-01-06 43.648325
2011-01-07 43.960913
2011-01-10 44.788809
2011-01-11 44.682869
2011-01-12 45.046465
2011-01-13 45.21126
2011-01-14 45.577468
2011-01-18 44.55339
2011-01-19 44.316661
2011-01-20 43.510998
2011-01-21 42.731493
2011-01-24 44.134862
2011-01-25 44.651479
2011-01-26 44.971915
2011-01-27 44.888208
2011-01-28 43.958297
2011-01-31 44.379438
2011-02-01 45.126247
2011-02-02 45.033386
2011-02-03 44.918292
2011-02-04 45.318506
2011-02-07 46.022151
2011-02-08 46.456375
2011-02-09 46.84351
2011-02-10 46.370052
2011-02-11 46.672177
2011-02-14 46.976915
2011-02-15 47.071085
2011-02-16 47.493532
2011-02-17 46.861821
2011-02-18 45.849513
2011-02-22 44.286577
2011-02-23 44.811042
2011-02-24 44.845048
2011-02-25 45.535618
2011-02-28 46.196103
2011-03-01 45.686024
2011-03-02 46.053542
2011-03-03 47.026616
2011-03-04 47.084161
2011-03-07 46.477298
2011-03-08 46.529615
2011-03-09 46.099317
2011-03-10 45.340739
2011-03-11 46.03654
2011-03-14 46.241879
2011-03-15 45.17856
2011-03-16 43.161791
2011-03-17 43.767344
2011-03-18 43.248111
2011-03-21 44.376822
2011-03-22 44.625324
2011-03-23 44.362437
2011-03-24 45.118399
2011-03-25 45.977686
2011-03-28 45.833817
2011-03-29 45.901826
2011-03-30 45.597089
2011-03-31 45.581394
2011-04-01 45.064776
2011-04-04 44.624015
