"Index" "GOOG.Adjusted"
2009-06-08 219.166213
2009-06-09 217.59278
2009-06-10 216.084284
2009-06-11 214.286083
2009-06-12 212.208155
2009-06-15 208.177184
2009-06-16 207.79257
2009-06-17 207.372978
2009-06-18 206.82353
2009-06-19 209.83552
2009-06-22 203.471879
2009-06-23 202.637715
2009-06-24 204.440904
2009-06-25 207.677677
2009-06-26 212.447917
2009-06-29 211.858503
2009-06-30 210.584781
2009-07-01 209.286072
2009-07-02 204.04131
2009-07-06 204.60075
2009-07-07 198.117228
2009-07-08 201.044299
2009-07-09 204.990367
2009-07-10 206.993368
2009-07-13 211.938419
2009-07-14 212.133228
2009-07-15 218.866503
2009-07-16 221.079307
2009-07-17 214.910459
2009-07-20 214.870494
2009-07-21 213.736635
2009-07-22 213.631733
2009-07-23 218.451931
2009-07-24 223.137252
2009-07-27 222.178204
2009-07-28 219.705671
2009-07-29 217.902467
2009-07-30 222.59778
2009-07-31 221.304074
2009-08-03 225.879506
2009-08-04 226.638743
2009-08-05 225.345037
2009-08-06 224.955435
2009-08-07 228.322066
2009-08-10 228.077315
2009-08-11 226.743644
2009-08-12 229.061335
2009-08-13 230.909492
2009-08-14 229.770629
2009-08-17 222.223157
2009-08-18 222.417966
2009-08-19 221.763616
2009-08-20 229.975414
2009-08-21 232.388015
2009-08-24 234.13127
2009-08-25 235.449962
2009-08-26 233.766639
2009-08-27 232.797599
2009-08-28 232.143249
2009-08-31 230.604794
2009-09-01 227.652736
2009-09-02 226.279115
2009-09-03 228.531854
2009-09-04 230.419976
2009-09-08 229.081317
2009-09-09 231.753647
2009-09-10 235.23517
2009-09-11 235.834576
2009-09-14 237.32309
2009-09-15 238.531876
2009-09-16 243.901522
2009-09-17 245.614804
2009-09-18 245.484931
2009-09-21 248.252171
2009-09-22 249.281144
2009-09-23 248.981449
2009-09-24 248.137294
2009-09-25 245.99443
2009-09-28 249.016411
2009-09-29 249.016411
2009-09-30 247.677752
2009-10-01 243.357062
2009-10-02 242.048362
2009-10-05 244.0164
2009-10-06 249.121313
2009-10-07 258.511924
2009-10-08 256.83362
2009-10-09 257.86758
2009-10-12 261.758703
2009-10-13 262.792664
2009-10-14 267.393067
2009-10-15 264.690778
2009-10-16 274.650835
2009-10-19 275.769715
2009-10-20 275.584882
2009-10-21 275.275196
2009-10-22 276.768698
2009-10-23 276.568902
2009-10-26 276.828646
2009-10-27 273.871601
2009-10-28 269.880595
2009-10-29 275.250225
2009-10-30 267.79266
2009-11-02 266.728741
2009-11-03 268.377086
2009-11-04 269.895559
2009-11-05 274.051415
2009-11-06 275.275196
2009-11-09 280.974496
2009-11-10 283.097377
2009-11-11 284.995491
2009-11-12 283.641838
2009-11-13 285.739748
2009-11-16 287.852654
2009-11-17 288.457032
2009-11-18 288.037456
2009-11-19 286.209296
2009-11-20 284.695781
2009-11-23 290.884611
2009-11-24 291.254246
2009-11-25 292.57791
2009-11-27 289.590906
2009-11-30 291.209293
2009-12-01 294.640874
2009-12-02 293.462046
2009-12-03 292.57791
2009-12-04 292.213294
2009-12-07 292.832667
2009-12-08 293.23226
2009-12-09 294.21628
2009-12-10 295.455055
2009-12-11 294.960537
2009-12-14 297.56793
2009-12-15 296.274225
