"Index" "F.Adjusted"
2010-01-13 9.204099
2010-01-14 9.267142
2010-01-15 9.141056
2010-01-19 9.25926
2010-01-20 9.070133
2010-01-21 8.810086
2010-01-22 8.28999
2010-01-25 8.691883
2010-01-26 8.817967
2010-01-27 9.101653
2010-01-28 8.991328
2010-01-29 8.542161
2010-02-01 8.762806
2010-02-02 8.975571
2010-02-03 9.172575
2010-02-04 8.715526
2010-02-05 8.597323
2010-02-08 8.644605
2010-02-09 8.786447
2010-02-10 8.620962
2010-02-11 8.810086
2010-02-12 8.762806
2010-02-16 8.92041
2010-02-17 9.054374
2010-02-18 8.96769
2010-02-19 8.89677
2010-02-22 8.833728
2010-02-23 9.141056
2010-02-24 9.243501
2010-02-25 9.2829
2010-02-26 9.251381
2010-03-01 9.779353
2010-03-02 9.629632
2010-03-03 10.000001
2010-03-04 10.078802
2010-03-05 10.244287
2010-03-08 10.189126
2010-03-09 10.086682
2010-03-10 10.102442
2010-03-11 10.173365
2010-03-12 10.512216
2010-03-15 10.559497
2010-03-16 10.630419
2010-03-17 11.111112
2010-03-18 10.819542
2010-03-19 10.472813
2010-03-22 11.024428
2010-03-23 10.953506
2010-03-24 10.953506
2010-03-25 10.874702
2010-03-26 10.921987
2010-03-29 10.69346
2010-03-30 10.464932
2010-03-31 9.905437
2010-04-01 9.95272
2010-04-05 10.063042
2010-04-06 10.00788
2010-04-07 9.91332
2010-04-08 9.95272
2010-04-09 10.023642
2010-04-12 10.063042
2010-04-13 10.078802
2010-04-14 10.520096
2010-04-15 10.843184
2010-04-16 10.575253
2010-04-19 10.7171
2010-04-20 10.961385
2010-04-21 11.134752
2010-04-22 11.189915
2010-04-23 11.197791
2010-04-26 11.3948
2010-04-27 10.69346
2010-04-28 10.441294
2010-04-29 10.701339
2010-04-30 10.260046
2010-05-03 10.480694
2010-05-04 10.126083
2010-05-05 9.724193
2010-05-06 9.2829
2010-05-07 9.070133
2010-05-10 9.574469
2010-05-11 9.70055
2010-05-12 9.99212
2010-05-13 9.787234
2010-05-14 9.542947
2010-05-17 9.416863
2010-05-18 9.101653
2010-05-19 9.101653
2010-05-20 8.51064
2010-05-21 8.873127
2010-05-24 8.676126
2010-05-25 8.684005
2010-05-26 8.975571
2010-05-27 9.448384
2010-05-28 9.243501
2010-06-01 8.991328
2010-06-02 9.338064
2010-06-03 9.424744
2010-06-04 9.062254
2010-06-07 8.739165
2010-06-08 8.84161
2010-06-09 8.707643
2010-06-10 8.975571
2010-06-11 8.983452
2010-06-14 9.030733
2010-06-15 9.219858
2010-06-16 9.1647
2010-06-17 9.046494
2010-06-18 9.030733
2010-06-21 9.085896
2010-06-22 8.84161
2010-06-23 8.691883
2010-06-24 8.494878
2010-06-25 8.471236
2010-06-28 8.219069
2010-06-29 7.785658
2010-06-30 7.943264
2010-07-01 8.329391
2010-07-02 8.100866
2010-07-06 8.006306
2010-07-07 8.345154
2010-07-08 8.368793
2010-07-09 8.55004
2010-07-12 8.747046
2010-07-13 9.188335
2010-07-14 9.30654
2010-07-15 9.345942
