Date APPLE AMAZON FORD GOOGLE MICROSOFT VOLKSWAGEN
2007-09-10 16.993073 83.339996 5.184307 256.279388 21.508141 NA
2007-09-11 16.841429 86.279999 5.225673 259.69162 21.847979 NA
2007-09-12 17.010475 87.300003 5.170519 260.349152 21.847979 NA
2007-09-13 17.053982 87.260002 5.460069 261.410156 22.021679 NA
2007-09-14 17.254101 87.769997 5.535903 263.387756 21.931051 NA
2007-09-17 17.204382 86.910004 5.708253 261.669189 21.696939 NA
2007-09-18 17.516373 88.75 5.80477 266.63559 21.847979 NA
2007-09-19 17.497732 89 5.790982 272.403961 21.651628 NA
2007-09-20 17.440552 89.650002 5.687571 275.382813 21.462831 NA
2007-09-21 17.917858 91.300003 5.673783 279.004211 21.636526 NA
2007-09-24 18.431223 92.589996 5.846134 282.949432 21.961266 NA
2007-09-25 19.040298 93.480003 5.749619 283.437592 22.323753 NA
2007-09-26 18.989334 93.43 6.121895 283.019165 22.27845 NA
2007-09-27 19.204372 93.379997 5.949545 282.690399 22.270895 NA
2007-09-28 19.076338 93.150002 5.853028 282.575836 22.24824 NA
2007-10-01 19.433083 93.410004 5.673783 290.187317 22.482351 NA
2007-10-02 19.695351 92.360001 5.90818 291.103882 22.429487 NA
2007-10-03 19.629475 92.459999 5.811665 290.919556 22.240688 NA
2007-10-04 19.420652 92.260002 5.694465 288.433868 22.437038 NA
2007-10-05 20.068256 93.43 5.770301 295.915833 22.535208 NA
2007-10-08 20.871237 95.849998 5.646208 303.671753 22.535208 NA
2007-10-09 20.865021 95.32 5.73583 306.441376 22.731573 NA
2007-10-10 20.732019 94.660004 5.673783 311.527313 22.829744 NA
2007-10-11 20.165209 89.339996 6.039168 309.838654 22.588079 NA
2007-10-12 20.789192 92.370003 6.342505 317.504913 22.78443 NA
2007-10-15 20.75564 90.529999 6.19773 308.897186 22.686255 NA
2007-10-16 21.078815 89.529999 6.052956 306.849854 22.897709 NA
2007-10-17 21.472849 90.550003 5.990908 315.55722 23.471659 NA
2007-10-18 21.566072 89.849998 6.039168 318.615753 23.532082 NA
2007-10-19 21.183229 89.760002 5.770301 321.151245 22.78443 NA
2007-10-22 21.672972 91.290001 5.749619 324.159973 23.041199 NA
2007-10-23 23.139713 100.82 5.963331 336.62326 23.335724 NA
2007-10-24 23.111124 88.730003 5.921968 336.648163 23.600052 NA
2007-10-25 22.719578 88.209999 5.928864 333.006805 24.158899 NA
2007-10-26 22.958233 90 5.977121 336.040436 26.454714 NA
2007-10-29 23.006708 90.099998 6.046062 338.346802 26.107317 NA
2007-10-30 23.244125 88.239998 6.066742 346.087769 26.862522 NA
2007-10-31 23.610807 89.150002 6.115002 352.179932 27.798977 NA
2007-11-01 23.298817 87.650002 5.859922 350.292023 27.98777 NA
2007-11-02 23.352268 85.980003 6.170155 354.296997 27.98777 NA
2007-11-05 23.1422 84.370003 5.977121 361.470123 27.73855 NA
2007-11-06 23.839521 87.269997 5.949545 369.509979 27.496887 NA
2007-11-07 23.157114 87.040001 5.680677 365.101501 26.82476 NA
2007-11-08 21.810946 83.580002 5.846134 345.624512 26.235703 NA
2007-11-09 20.555513 78.889999 5.653102 330.7453 25.472952 NA
2007-11-12 19.112387 77 5.425598 314.854858 25.20863 NA
2007-11-13 21.126051 79.860001 5.515221 329.041656 26.110289 NA
2007-11-14 20.647495 78.510002 5.501433 319.641907 25.70871 NA
2007-11-15 20.422514 77.849998 5.363553 313.649353 25.579906 NA
2007-11-16 20.682297 78.599998 5.3084 315.631927 25.829937 NA
2007-11-19 20.379009 79.18 5.060215 311.75647 25.73144 NA
2007-11-20 20.988075 80.389999 4.991274 323.059082 26.201212 NA
2007-11-21 20.939602 79.760002 4.791348 329.026733 25.936024 NA
2007-11-23 21.322441 81.43 4.956805 337.086517 25.845093 NA
2007-11-26 21.446745 81.300003 4.8465 331.7565 24.981316 NA
2007-11-27 21.728909 85.589996 4.874076 335.527374 25.04952 NA
